mois_traitement,code_prestation,remboursement_part_legale_eur,quantite_prefiltree
202501,1175,2535.430000,86.000000
202501,1642,2500.000000,2.000000
202501,2424,2490.180000,3.000000
202501,4156,2450.000000,6.000000
202501,1910,2420.000000,25.000000
202501,2104,2415.470000,14.000000
202501,1618,2368.000000,1.000000
202501,1122,2291.000000,29.000000
202501,3550,2169.530000,216947.000000
202501,1150,2124.500000,2.000000
202501,9208,2100.000000,7.000000
202501,9210,1932.000000,14.000000
202501,6128,1932.000000,1.000000
202501,4113,1894.970000,583.000000
202501,9435,1771.000000,77.000000
202501,3594,1723.300000,11.000000
202501,3370,1700.000000,90.000000
202501,6211,1686.140000,52.000000
202501,3413,1679.200000,9.000000
202501,4310,1656.000000,16.000000
202501,6132,1614.800000,22.000000
202501,1087,1595.000000,4.000000
202501,3304,1498.840000,3.000000
202501,2230,1494.300000,43863.000000
202501,3135,1479.800000,39.000000
202501,9118,1456.000000,1.000000
202501,3541,1412.600000,2.000000
202501,1170,1410.940000,38.000000
202501,4322,1404.800000,1.000000
202501,9123,1374.200000,8.000000
202501,2222,1372.350000,192.000000
202501,3558,1363.170000,46.000000
202501,2298,1315.950000,7046.000000
202501,1118,1292.780000,30.000000
202501,4217,1281.880000,20.000000
202501,4318,1272.000000,5.000000
202501,9429,1266.000000,41.000000
202501,2164,1204.640000,104.000000
202501,3315,1094.430000,-1.000000
202501,9116,1050.000000,1.000000
202501,9131,1005.130000,1.000000
202501,1193,992.000000,85.000000
